Count,plate_number,fungi,day,mean,days
5,127,Aspergillus,5,18.96875,day5
5,133,Aspergillus,5,23.59725,day5
5,135,Aspergillus,5,19.4965,day5
5,128,Aspergillus,5,23.7375,day5
5,129,Aspergillus,5,22.009,day5
5,132,Aspergillus,5,21.714,day5
5,131,Aspergillus,5,20.621,day5
1,141,Xylaria,1,0.998,day1
1,136,Xylaria,1,0.6985,day1
1,137,Xylaria,1,0.60275,day1
1,144,Xylaria,1,0.7725,day1
1,143,Xylaria,1,0.826,day1
1,138,Xylaria,1,0.922,day1
1,139,Xylaria,1,0.89325,day1
1,140,Xylaria,1,1.00925,day1
1,142,Xylaria,1,0,day1
2,141,Xylaria,2,4.134,day2
2,136,Xylaria,2,4.0795,day2
2,137,Xylaria,2,3.55625,day2
2,144,Xylaria,2,3.73575,day2
2,143,Xylaria,2,4.00525,day2
2,138,Xylaria,2,3.88475,day2
2,139,Xylaria,2,4.05425,day2
2,140,Xylaria,2,4.1855,day2
2,142,Xylaria,2,0,day2
3,141,Xylaria,3,10.10475,day3
3,136,Xylaria,3,9.7285,day3
3,137,Xylaria,3,9.70725,day3
3,144,Xylaria,3,9.385,day3
3,143,Xylaria,3,9.838,day3
3,138,Xylaria,3,9.89975,day3
3,139,Xylaria,3,10.184,day3
3,140,Xylaria,3,10.0455,day3
3,142,Xylaria,3,0,day3
4,141,Xylaria,4,15.655,day4
4,136,Xylaria,4,15.268,day4
4,137,Xylaria,4,14.84475,day4
4,144,Xylaria,4,14.99775,day4
4,143,Xylaria,4,15.309,day4
4,138,Xylaria,4,15.394,day4
4,139,Xylaria,4,15.474,day4
4,140,Xylaria,4,15.68925,day4
4,142,Xylaria,4,0,day4
5,141,Xylaria,5,20.99925,day5
5,136,Xylaria,5,20.7235,day5
5,137,Xylaria,5,20.2885,day5
5,144,Xylaria,5,20.55775,day5
5,143,Xylaria,5,20.595,day5
5,138,Xylaria,5,21.0495,day5
5,139,Xylaria,5,20.697,day5
5,140,Xylaria,5,21.15175,day5
5,142,Xylaria,5,0,day5
